Spanish,English,Type
"estar en contra de
","estar en contra de
"
"estar de acuerdo
","estar de acuerdo
"
"estar agradecido
","estar agradecido
"
"estar cancelado/a
","estar cancelado/a
"
"estar castigado
","estar castigado
"
"castigar
","castigar
"
"estar de acuerdo (con algo)
","estar de acuerdo (con algo)
"
"estar de buen/mal humor
","estar de buen/mal humor
"
"estar harto de
","estar harto de
"
"estar resfriado/constipado
","estar resfriado/constipado
"
"estar situado/a
","estar situado/a
"
"estudiar
","estudiar
"
"evitar
","evitar
"
"experimentar
","experimentar
"
"explicar
","explicar
"
"fabricar
","fabricar
"
"fallar, fracasar
","fallar, fracasar
"
"faltar
","faltar
"
"felicitar
","felicitar
"
"firmar
","firmar
"
"fregar (los platos)
","fregar (los platos)
"
"frenar
","frenar
"
"to fail
","to fail
"
"fumar
","fumar
"
"funcionar
","funcionar
"
"funcionar
","funcionar
"
"ganar
","ganar
"
"ganarse la vida
","ganarse la vida
"
"garantizar
","garantizar
"
"gastar
","gastar
"
"granizar
","granizar
"
"gustar (a)
","gustar (a)
"
"gustar (a), encantar (a)
","gustar (a), encantar (a)
"
"haber
","haber
"
"hablar
","hablar
"
"hablar de
","hablar de
"
"hacer
","hacer
"
"hacer de canguro
","hacer de canguro
"
"hacer deporte
","hacer deporte
"
"hacer ejercicio
","hacer ejercicio
"
"hacer falta
","hacer falta
"
"hacer gimnasia
","hacer gimnasia
"
"hacer novillos
","hacer novillos
"
"hacer transbordo
","hacer transbordo
"
"hacer un curso
","hacer un curso
"
"hacer un examen
","hacer un examen
"
"hacer una pregunta
","hacer una pregunta
"
"hacer vela
","hacer vela
"
"hacer/deshacer la maleta
","hacer/deshacer la maleta
"
"helar
","helar
"
"imaginar(se)
","imaginar(se)
"
"impactar
","impactar
"
"informar
","informar
"
"intentar, tratar de
","intentar, tratar de
"
"intercambiar
","intercambiar
"
"interesarse en
","interesarse en
"
"introducir
","introducir
"
"investigar
","investigar
"
"invitar
","invitar
"
"invitar
","invitar
"
"ir
","ir
"
"ir a la bolera
","ir a la bolera
"
"ir de caminata/hacer excursionismo
","ir de caminata/hacer excursionismo
"
"ir de compras
","ir de compras
"
"ir de paseo
","ir de paseo
"
"jugar
","jugar
"
"juntarse, encontrar, conocer
","juntarse, encontrar, conocer
"
"lavar(se)
","lavar(se)
"
"leer
","leer
"
"levantarse
","levantarse
"
